486,1,0,0,0,1100,1000,0,-1100,1000,2,0.552408278,
489,1,0,0,0,400,1000,0,-400,1000,2,0.994794879,
492,1,0,0,0,700,1000,0,-700,1000,2,0.666766298,
495,1,0,0,0,2700,1000,0,-2700,1000,2,0.526179245,
498,1,0,0,0,1200,1000,0,-1200,1000,2,0.541047752,
501,1,0,0,0,500,1000,0,-500,1000,2,0.89396959,
504,1,0,0,0,300,1000,0,-300,1000,2,0.511978341,
507,1,0,0,0,2400,1000,0,-2400,1000,2,0.517270037,
510,1,0,0,0,800,1000,0,-800,1000,2,0.61631155,
513,1,0,0,0,600,1000,0,-600,1000,2,0.785300255,
516,1,0,0,0,100,1000,0,-100,1000,2,0.122126251,
519,1,0,0,0,1400,1000,0,-1400,1000,2,0.544640175,
522,1,0,0,0,2800,1000,0,-2800,1000,2,0.519070539,
525,1,0,0,0,2300,1000,0,-2300,1000,2,0.51623874,
528,1,0,0,0,200,1000,0,-200,1000,2,0.506298235,
531,1,0,0,0,2100,1000,0,-2100,1000,2,0.526179088,
534,1,0,0,0,1700,1000,0,-1700,1000,2,0.520498923,
537,1,0,0,0,1300,1000,0,-1300,1000,2,0.523338926,
540,1,0,0,0,1800,1000,0,-1800,1000,2,0.524750802,
543,1,0,0,0,3000,1000,0,-3000,1000,2,0.511978498,
546,1,0,0,0,2600,1000,0,-2600,1000,2,0.517658821,
549,1,0,0,0,1600,1000,0,-1600,1000,2,0.521919003,
552,1,0,0,0,1900,1000,0,-1900,1000,2,0.526179245,
555,1,0,0,0,2000,1000,0,-2000,1000,2,0.51481866,
558,1,0,0,0,1500,1000,0,-1500,1000,2,0.533947349,
561,1,0,0,0,900,1000,0,-900,1000,2,0.564521027,
564,1,0,0,0,2200,1000,0,-2200,1000,2,0.51623874,
567,1,0,0,0,1000,1000,0,-1000,1000,2,0.55458068,
570,1,0,0,0,2900,1000,0,-2900,1000,2,0.51481866,
573,1,0,0,0,2500,1000,0,-2500,1000,2,0.51623874,
576,1,0,0,0,1100,1000,0,-1100,1000,2,0.541800073,
579,1,0,0,0,400,1000,0,-400,1000,2,0.984854374,
582,1,0,0,0,700,1000,0,-700,1000,2,0.648305527,
585,1,0,0,0,2700,1000,0,-2700,1000,2,0.527599326,
588,1,0,0,0,1200,1000,0,-1200,1000,2,0.558832401,
591,1,0,0,0,500,1000,0,-500,1000,2,0.888297788,
594,1,0,0,0,300,1000,0,-300,1000,2,0.519078744,
597,1,0,0,0,2400,1000,0,-2400,1000,2,0.527599326,
600,1,0,0,0,800,1000,0,-800,1000,2,0.600690782,
723,1,0,0,0,2000,1000,600,-2000,1000,2,1.17937047,
726,1,0,0,0,2000,1000,1000,-2000,1000,2,1.224931033,
729,1,0,0,0,2000,1000,2000,-2000,1000,2,1.429463915,
732,1,0,0,0,2000,1000,75,-2000,1000,2,0.542467799,
735,1,0,0,0,2000,1000,3000,-2000,1000,2,1.473283204,
738,1,0,0,0,2000,1000,4000,-2000,1000,2,1.482556012,
741,1,0,0,0,2000,1000,5000,-2000,1000,2,1.465515096,
744,1,0,0,0,2000,1000,800,-2000,1000,2,1.185760695,
747,1,0,0,0,2000,1000,500,-2000,1000,2,1.035588117,
750,1,0,0,0,2000,1000,700,-2000,1000,2,1.222682673,
753,1,0,0,0,2000,1000,400,-2000,1000,2,0.972749788,
756,1,0,0,0,2000,1000,50,-2000,1000,2,0.567352846,
759,1,0,0,0,2000,1000,25,-2000,1000,2,0.549568187,
762,1,0,0,0,2000,1000,300,-2000,1000,2,0.879768863,
765,1,0,0,0,2000,1000,100,-2000,1000,2,0.591494098,
768,1,0,0,0,2000,1000,7000,-2000,1000,2,1.417232592,
771,1,0,0,0,2000,1000,200,-2000,1000,2,0.710467427,
774,1,0,0,0,2000,1000,6000,-2000,1000,2,1.44989432,
777,1,0,0,0,2000,1000,900,-2000,1000,2,1.241895867,
780,1,0,0,0,2000,1000,10,-2000,1000,2,0.563777403,
783,1,0,0,0,2000,1000,600,-2000,1000,2,1.144578602,
786,1,0,0,0,2000,1000,1000,-2000,1000,2,1.253366346,
789,1,0,0,0,2000,1000,2000,-2000,1000,2,1.492496517,
792,1,0,0,0,2000,1000,75,-2000,1000,2,0.578713387,
795,1,0,0,0,2000,1000,3000,-2000,1000,2,1.509537365,
798,1,0,0,0,2000,1000,4000,-2000,1000,2,1.49604661,
801,1,0,0,0,2000,1000,5000,-2000,1000,2,1.457738429,
804,1,0,0,0,2000,1000,800,-2000,1000,2,1.220577809,
807,1,0,0,0,2000,1000,500,-2000,1000,2,0.997559023,
810,1,0,0,0,2000,1000,700,-2000,1000,2,1.197121289,
813,1,0,0,0,2000,1000,400,-2000,1000,2,0.996891048,
816,1,0,0,0,2000,1000,50,-2000,1000,2,0.546778217,
819,1,0,0,0,2000,1000,25,-2000,1000,2,0.534148709,
822,1,0,0,0,2000,1000,300,-2000,1000,2,0.859092395,
825,1,0,0,0,2000,1000,100,-2000,1000,2,0.555248465,
828,1,0,0,0,2000,1000,7000,-2000,1000,2,1.400191691,
831,1,0,0,0,2000,1000,200,-2000,1000,2,0.635482557,
834,1,0,0,0,2000,1000,6000,-2000,1000,2,1.388121076,
837,1,0,0,0,2000,1000,900,-2000,1000,2,1.190764815,
840,1,0,0,0,2000,1000,10,-2000,1000,2,0.537531287,
984,0,0,0,0,0,0,0,0,0,0,0.48477465,1
987,1,0,0,0,2300,20,0,-2300,20,2,0.47636436,0.983
990,1,0,0,0,400,80,0,-400,80,2,0.467406869,0.964791968
993,1,0,0,0,3000,40,0,-3000,40,2,0.479984563,0.991071919
996,1,0,0,0,2400,40,0,-2400,40,2,0.477226983,0.985694309
999,1,0,0,0,500,140,0,-500,140,2,0.478564542,0.988774315
